,osmid,y,x,highway,street_count,ref,geometry
2670,42447132,40.7788196,-73.9560836,traffic_signals,4,,POINT (-73.9560836 40.7788196)
2671,42447136,40.7801748,-73.9550942,traffic_signals,4,,POINT (-73.9550942 40.7801748)
2672,42447144,40.7826939,-73.953256,traffic_signals,4,,POINT (-73.953256 40.7826939)
2673,42447149,40.7833152,-73.9528043,traffic_signals,4,,POINT (-73.9528043 40.7833152)
2674,42447166,40.7858747,-73.9509302,traffic_signals,4,,POINT (-73.9509302 40.7858747)
2675,42447169,40.7865479,-73.9504365,traffic_signals,4,,POINT (-73.9504365 40.7865479)
2676,42447174,40.7871827,-73.9499793,traffic_signals,4,,POINT (-73.9499793 40.7871827)
2677,42447176,40.7884305,-73.9490654,traffic_signals,4,,POINT (-73.9490654 40.7884305)
2678,42447179,40.7915775,-73.9467764,traffic_signals,4,,POINT (-73.9467764 40.7915775)
2679,42447182,40.7922499,-73.9462871,traffic_signals,5,,POINT (-73.9462871 40.7922499)
2680,42447187,40.794183,-73.9448716,traffic_signals,4,,POINT (-73.9448716 40.794183)
2681,42447192,40.7954494,-73.9439488,traffic_signals,4,,POINT (-73.9439488 40.7954494)
2682,42447196,40.7960809,-73.9434893,traffic_signals,4,,POINT (-73.9434893 40.7960809)
2683,42447199,40.7986336,-73.9416222,traffic_signals,4,,POINT (-73.9416222 40.7986336)
2684,42447201,40.7993112,-73.9411335,traffic_signals,4,,POINT (-73.9411335 40.7993112)
2685,42447206,40.80182,-73.9392953,traffic_signals,4,,POINT (-73.9392953 40.80182)
2686,42447207,40.8030771,-73.9383782,,4,,POINT (-73.9383782 40.8030771)
2687,42447208,40.8056792,-73.9364782,traffic_signals,3,,POINT (-73.9364782 40.8056792)
2688,42447209,40.8062963,-73.9360272,traffic_signals,4,,POINT (-73.9360272 40.8062963)
2689,42447210,40.8075469,-73.935112,,3,,POINT (-73.935112 40.8075469)
2690,42447228,40.7686524,-73.9698216,traffic_signals,4,,POINT (-73.9698216 40.7686524)
2691,42447230,40.7672618,-73.966522,traffic_signals,4,,POINT (-73.966522 40.7672618)
2692,42447235,40.7659377,-73.9633856,traffic_signals,4,,POINT (-73.9633856 40.7659377)
2693,42447237,40.7639926,-73.9587694,traffic_signals,4,,POINT (-73.9587694 40.7639926)
2694,42447246,40.7200394,-74.0039146,traffic_signals,4,,POINT (-74.0039146 40.7200394)
2695,42447249,40.7194841,-74.0043702,traffic_signals,4,,POINT (-74.0043702 40.7194841)
2696,42447255,40.71733,-73.999449,,4,,POINT (-73.999449 40.71733)
2697,42447273,40.794787,-73.964303,,3,,POINT (-73.964303 40.794787)
2698,42447275,40.7954638,-73.9638068,,3,,POINT (-73.9638068 40.7954638)
2699,42447278,40.7960913,-73.9633452,,3,,POINT (-73.9633452 40.7960913)
2700,42447281,40.7967143,-73.9628898,,3,,POINT (-73.9628898 40.7967143)
2701,42447285,40.7973362,-73.9624366,,4,,POINT (-73.9624366 40.7973362)
2702,42447295,40.7999592,-73.9605219,traffic_signals,4,,POINT (-73.9605219 40.7999592)
2703,42447303,40.8005867,-73.96006,traffic_signals,4,,POINT (-73.96006 40.8005867)
2704,42447317,40.8037326,-73.9577756,traffic_signals,4,,POINT (-73.9577756 40.8037326)
2705,42447323,40.8057124,-73.956335,traffic_signals,4,,POINT (-73.956335 40.8057124)
2706,42447326,40.8063364,-73.9558716,traffic_signals,4,,POINT (-73.9558716 40.8063364)
2707,42447330,40.8069655,-73.9554122,traffic_signals,4,,POINT (-73.9554122 40.8069655)
2708,42447336,40.8088533,-73.9540464,traffic_signals,4,,POINT (-73.9540464 40.8088533)
2709,42447346,40.8165367,-73.9349057,traffic_signals,3,,POINT (-73.9349057 40.8165367)
2710,42447389,40.8217502,-73.9472408,,3,,POINT (-73.9472408 40.8217502)
2711,42447399,40.8221058,-73.9480802,traffic_signals,4,,POINT (-73.9480802 40.8221058)
2712,42447404,40.8231195,-73.9504964,traffic_signals,4,,POINT (-73.9504964 40.8231195)
2713,42447418,40.841087,-73.937929,traffic_signals,4,,POINT (-73.937929 40.841087)
2714,42447419,40.8432059,-73.9429517,,3,,POINT (-73.9429517 40.8432059)
