,u,v,key,osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,access,bridge,tunnel,width,junction
9213,4682935360,42430749,0,252227354,West 59th Street,unclassified,,False,True,127.211,"LINESTRING (-73.9917766 40.7721616, -73.9907648 40.7717468, -73.9905972 40.7716755, -73.9904508 40.7716133)",,,,,,,
9214,4682935360,4682935365,0,474304540,Freedom Place South,residential,25 mph,False,False,85.415,"LINESTRING (-73.9917766 40.7721616, -73.991683 40.7722306, -73.9916444 40.772259, -73.9911211 40.7726429, -73.9910498 40.7726974)",2,,,,,,
9215,4682935365,2061592973,0,474304539,West 60th Street,residential,25 mph,False,True,102.26599999999999,"LINESTRING (-73.9910498 40.7726974, -73.9909499 40.7726541, -73.9901427 40.7723041, -73.9899959 40.7722404)",1,,,,,,
9216,4682935365,3533937800,0,474304540,Freedom Place South,residential,25 mph,False,False,79.292,"LINESTRING (-73.9910498 40.7726974, -73.9909959 40.7727468, -73.9906142 40.7732366, -73.9905614 40.7733062)",2,,,,,,
9217,4682935365,4682935360,0,474304540,Freedom Place South,residential,25 mph,False,True,85.41499999999999,"LINESTRING (-73.9910498 40.7726974, -73.9911211 40.7726429, -73.9916444 40.772259, -73.991683 40.7722306, -73.9917766 40.7721616)",2,,,,,,
9218,4708064890,42432897,0,5672065,West 118th Street,residential,,True,False,158.765,"LINESTRING (-73.9544117 40.805728, -73.9543051 40.8056829, -73.9527655 40.8050309)",,,,,,,
9219,4708064890,42435775,0,806169765,Frederick Douglass Boulevard,secondary,25 mph,False,False,79.245,"LINESTRING (-73.9544117 40.805728, -73.9543663 40.8057904, -73.9539911 40.8063062, -73.9539576 40.8063523)",2,,,,,,
9220,4708064890,42435766,0,806169765,Frederick Douglass Boulevard,secondary,25 mph,False,True,80.551,"LINESTRING (-73.9544117 40.805728, -73.9544537 40.8056705, -73.9546981 40.8053359, -73.9548261 40.8051599, -73.9548742 40.8050938)",2,,,,,,
9221,4754091366,42428405,0,5669938,Duane Street,residential,25 mph,True,False,115.30699999999999,"LINESTRING (-74.0065871 40.7157771, -74.0055173 40.7152811, -74.00542 40.715236)",,,,,,,
9222,4754091366,42429829,0,5672803,Trimble Place,residential,25 mph,True,False,68.46,"LINESTRING (-74.0065871 40.7157771, -74.0065446 40.71583, -74.0063545 40.7160666, -74.0061932 40.7162673, -74.0061645 40.7163029)",,,,,,,
9223,4778174564,42438781,0,5670932,Laight Street,primary,25 mph,True,False,58.948,"LINESTRING (-74.0064128 40.7218157, -74.0063016 40.7218058, -74.0057181 40.7217538)",3,,,,,,
9224,4778174564,3567807957,0,342785522,Varick Street,secondary,25 mph,True,False,80.864,"LINESTRING (-74.0064128 40.7218157, -74.0064286 40.7217066, -74.0064375 40.721645, -74.0065527 40.7210964)",2,,,,,,
9225,4779073677,4779073680,0,46240376,FDR Drive,secondary,25 mph,True,False,13.666,"LINESTRING (-73.9440388 40.7830347, -73.9441165 40.7829268)",2,,,,,,
9226,4779073677,4779073679,0,485176772,East 96th Street,secondary,25 mph,True,False,63.562999999999995,"LINESTRING (-73.9440388 40.7830347, -73.944108 40.7830657, -73.9445479 40.7832493, -73.9447201 40.7832515)",3,,,,,,
9227,4779073679,42449010,0,"[420886249, 195743309]",1st Avenue,primary,25 mph,True,False,87.232,"LINESTRING (-73.9447201 40.7832515, -73.9446347 40.7833639, -73.944344 40.7837737, -73.9442667 40.7838768, -73.9442196 40.7839383)","['5', '4']",,,,,,
9228,4779073679,4779073680,0,485176774,East 96th Street,secondary,25 mph,True,False,63.761,"LINESTRING (-73.9447201 40.7832515, -73.944627 40.78314, -73.9441876 40.7829535, -73.9441165 40.7829268)",3,,,,,,
9229,4779073679,42443054,0,"[658006856, 592374690, 420886628]",East 96th Street,secondary,25 mph,False,True,228.32000000000002,"LINESTRING (-73.9447201 40.7832515, -73.9448639 40.783311, -73.9449996 40.783368, -73.9451695 40.7834389, -73.9455926 40.7836181, -73.9459059 40.7837503, -73.9469646 40.7841949, -73.9470901 40.7842494)","['5', '6']",,,,,,
9230,4779073680,6289180295,0,46240376,FDR Drive,secondary,25 mph,True,False,81.16400000000002,"LINESTRING (-73.9441165 40.7829268, -73.9441597 40.7828632, -73.9442253 40.7827521, -73.9442925 40.7826376, -73.9443423 40.7825338, -73.944383 40.7824358, -73.9444148 40.7823405, -73.9444401 40.7822424)",2,,,,,,
9231,4779073680,42424025,0,485176773,East 96th Street,secondary,25 mph,True,False,28.896,"LINESTRING (-73.9441165 40.7829268, -73.9440511 40.7829063, -73.9439955 40.7828928, -73.9439379 40.7828832, -73.9438883 40.7828792, -73.9437833 40.7828748)",2,,,,,,
9232,4814440062,1764400300,0,1031982727,Nagle Avenue,primary,,True,False,14.221,"LINESTRING (-73.9252612 40.8613637, -73.9251086 40.8614188)",2,,,,,,
9233,4841945993,4841945995,0,492148702,Bleecker Street,residential,20 mph,True,False,47.448,"LINESTRING (-74.0044748 40.7337978, -74.0044645 40.7336883, -74.004388 40.7334308, -74.0043727 40.7333791)",1,,,,,,
9234,4841945993,42431802,0,663797739,Bleecker Street,residential,20 mph,True,False,48.164,"LINESTRING (-74.0044748 40.7337978, -74.0042745 40.7334404, -74.0042514 40.7333991)",1,,,,,,
9235,4841945995,339044224,0,492148704,Christopher Street,residential,20 mph,True,False,128.077,"LINESTRING (-74.0043727 40.7333791, -74.0058581 40.7331346)",,,,,,,
9236,4862610026,42448338,0,226041013,East 55th Street,residential,,True,False,148.719,"LINESTRING (-73.970072 40.7596371, -73.9701872 40.7596823, -73.9702045 40.7596891, -73.9704525 40.7597948, -73.9714903 40.7602435, -73.9716128 40.7602899)",1,,,,,,
9237,4862610026,42446998,0,569345502,Lexington Avenue,secondary,25 mph,True,False,80.55199999999999,"LINESTRING (-73.970072 40.7596371, -73.9700984 40.7596008, -73.9701178 40.7595741, -73.9704888 40.7590633, -73.970533 40.7590024)",4,,,,,,
9238,4872623863,42427393,0,194923801,11th Avenue,trunk,30 mph,True,False,80.656,"LINESTRING (-74.0080022 40.7460777, -74.0078599 40.746795)",3,NY 9A,,,,,
9239,4872623863,42454381,0,22914182,West 19th Street,unclassified,25 mph,True,False,196.12800000000001,"LINESTRING (-74.0080022 40.7460777, -74.0078863 40.7460345, -74.0061052 40.7452916, -74.00596 40.745231)",,,,,,,
9240,4878831008,9121386334,0,275016228,Chambers Street,unclassified,25 mph,False,True,9.756,"LINESTRING (-74.0041097 40.713153, -74.0040646 40.7131299, -74.0040125 40.7131054)",4,,,,,,
9241,4878831008,370705004,0,"[356140737, 1043517682]",Centre Street,secondary,25 mph,True,False,94.184,"LINESTRING (-74.0041097 40.713153, -74.0041877 40.7130724, -74.0044672 40.7127902, -74.0045316 40.7127252, -74.0046394 40.712627, -74.0047092 40.7125693, -74.0047587 40.7125357, -74.004813 40.712497)","['1', '2']",,,,,,
9242,4878831008,42431602,0,986808853,Chambers Street,unclassified,25 mph,False,False,70.797,"LINESTRING (-74.0041097 40.713153, -74.0041877 40.7131905, -74.0041889 40.713191, -74.0041892 40.7131912, -74.0048235 40.7134886)",4,,,,,,
9243,4886250352,406006393,0,"[46211842, 46211843, 34769158, 336534282, 46211850, 336534284]",,motorway_link,,True,False,234.497,"LINESTRING (-73.9573589 40.7609238, -73.9570637 40.7608233, -73.9570083 40.7607988, -73.9569776 40.7607834, -73.9569612 40.7607686, -73.9569442 40.7607424, -73.9569391 40.7607246, -73.956936 40.7607054, -73.9569385 40.7606867, -73.9569443 40.760666, -73.9569555 40.7606425, -73.9569863 40.7606112, -73.957214 40.7604442, -73.9574683 40.7602624, -73.9576564 40.7601046, -73.9577947 40.7599751, -73.9578877 40.7598805, -73.9579732 40.7597778, -73.9581415 40.7595555, -73.9582013 40.7593428)",1,,,yes,building_passage,,
9244,4886250352,42451332,0,"[336534267, 873213381, 46211846]",FDR Drive,residential,25 mph,True,False,112.96,"LINESTRING (-73.9573589 40.7609238, -73.9570945 40.7607914, -73.9570719 40.7607798, -73.9570462 40.7607631, -73.9570326 40.7607478, -73.957025 40.7607338, -73.9570183 40.7607194, -73.9570166 40.7607063, -73.9570188 40.7606876, -73.9570242 40.7606729, -73.9570394 40.7606564, -73.9570582 40.7606398, -73.9572928 40.7604789, -73.9575327 40.760305, -73.9576236 40.7602322)",1,,,,building_passage,,
9245,4888388399,42435810,0,483360099,Frederick Douglass Boulevard,secondary,,False,False,80.688,"LINESTRING (-73.95068 40.810843, -73.950216 40.811478)",4,,,,,,
9246,4888388399,42435805,0,497250986,Frederick Douglass Boulevard,secondary,,False,True,85.158,"LINESTRING (-73.95068 40.810843, -73.9511777 40.8101762)",4,,,,,,
9247,4888388399,42432931,0,840993090,West 126th Street,residential,,True,False,136.888,"LINESTRING (-73.95068 40.810843, -73.952101 40.811442)",,,,,,,
9248,4899886546,42445314,0,5671311,West 26th Street,residential,25 mph,True,False,19.342,"LINESTRING (-74.008024 40.7518021, -74.0078208 40.7517211)",1,,,,,,
9249,4899886546,246580797,0,"[1004367243, 420908133, 420908134]",12th Avenue,trunk,30 mph,True,False,177.362,"LINESTRING (-74.008024 40.7518021, -74.0080638 40.7516895, -74.0080849 40.7516351, -74.0083591 40.7509047, -74.0084079 40.7507767, -74.0084363 40.7506867, -74.0084519 40.7506111, -74.0084674 40.7505198, -74.0084799 40.7504298, -74.0084869 40.7503419, -74.0084893 40.7502524)","['3', '4']",NY 9A,,,,,
9250,4899886584,4899886546,0,"[1057153169, 420908130]",12th Avenue,trunk,30 mph,True,False,235.606,"LINESTRING (-74.0072533 40.7538388, -74.007296 40.7537276, -74.0078036 40.7523476, -74.008024 40.7518021)","['3', '4']",NY 9A,,,,,
9251,5004570627,42441907,0,5671540,West 104th Street,residential,,True,False,16.728,"LINESTRING (-73.9711777 40.8010338, -73.971004 40.8009607)",,,,,,,
9252,5004570627,5004570651,0,511671661,Riverside Drive,secondary,,True,False,331.57399999999996,"LINESTRING (-73.9711777 40.8010338, -73.971128 40.8011036, -73.9702115 40.8023752, -73.9693204 40.8035955, -73.9692822 40.8036478)",,,,,,,
9253,5004570630,42428814,0,5672656,West 114th Street,residential,,True,False,194.318,"LINESTRING (-73.966962 40.8075991, -73.9668377 40.8075476, -73.9663621 40.8073395, -73.966217 40.8072783, -73.9650535 40.806798, -73.9649437 40.8067507)",,,,,,,
9254,5004570630,5004570631,0,581139888,Riverside Drive,secondary,,True,False,80.48400000000001,"LINESTRING (-73.966962 40.8075991, -73.9669068 40.8076755, -73.9667425 40.8079069, -73.9666327 40.8080429, -73.9665208 40.8081715, -73.966476 40.8082218)",2,,,,,,
9255,5004570631,1506445797,0,511671658,,secondary_link,,True,False,8.985,"LINESTRING (-73.966476 40.8082218, -73.96657 40.8082601)",,,,,,,
9256,5004570631,5004570632,0,581139888,Riverside Drive,secondary,,True,False,87.91100000000002,"LINESTRING (-73.966476 40.8082218, -73.9664265 40.8082707, -73.9659799 40.8086488, -73.9658835 40.8087257, -73.9657902 40.8088175)",2,,,,,,
9257,5004570632,1506445822,0,511671659,,secondary_link,,False,False,9.629,"LINESTRING (-73.9657902 40.8088175, -73.9658901 40.8088597)",,,,,,,
9258,5004570632,595314040,0,733393250,West 116th Street,residential,,False,True,36.425,"LINESTRING (-73.9657902 40.8088175, -73.9656964 40.8087789, -73.965409 40.8086624)",,,,,,,
9259,5004570632,5004570653,0,"[511671666, 733393251]",Riverside Drive,secondary,,True,False,245.328,"LINESTRING (-73.9657902 40.8088175, -73.965723 40.8089139, -73.9649529 40.8099738, -73.9644248 40.810698, -73.9643865 40.8107511)",2,,,,,,
9260,5004570644,42440577,0,511671656,,secondary_link,,True,False,9.395,"LINESTRING (-73.9673729 40.8069441, -73.9674745 40.8069791)",,,,,,,
9261,5004570644,5004570630,0,511671662,Riverside Drive,secondary,,True,False,80.633,"LINESTRING (-73.9673729 40.8069441, -73.9673249 40.8070242, -73.967255 40.8071415, -73.9670043 40.8075336, -73.966962 40.8075991)",2,,,,,,
9262,5004570651,42441910,0,511671654,West 108th Street,residential,,True,False,15.892,"LINESTRING (-73.9692822 40.8036478, -73.9691157 40.8035804)",,,,,,,
9263,5004570651,42452276,0,"[1032480137, 511671652]",Riverside Drive,secondary,,True,False,252.557,"LINESTRING (-73.9692822 40.8036478, -73.9692423 40.8037082, -73.9690395 40.8040086, -73.9688537 40.8042837, -73.9687663 40.8044231, -73.9686987 40.8045291, -73.9686282 40.804646, -73.9685186 40.8048347, -73.9680554 40.8057185)","['3', '2']",,,,,,
